Gene	Bone Marrow	E14.5-Brain	Cerebellum	Cortex	E14.5-Heart	Heart	Intestine	Kidney	E14.5-Limb	E14.5-Liver	Liver	Lung	Olfactory	E14.5-Placenta	Spleen	Testis	Thymus
ENSMUSG00000023033	0.027276485	1.836649	9.2525325	9.45278275	0.06339115	0.0076222	0.046566	0.05116135	0.6485975	0.0239659	0.0271704	0.02674585	4.26948	0.10702195	0.0729493	0.490808	0.462122
ENSMUSG00000024365	0	0	0.00713345	0	0.04263295	0.0705977	0.0173148	0.0067224	0.01983335	0.0254567	0.3523805	0.0686971	0	0.224197	0.16789445	0.090604	0
ENSMUSG00000048376	1.813425	20.31625	0.4438395	0.862047	29.3637	4.669245	3.276355	5.863525	17.3661	12.3299	3.24172	18.72855	1.68668	63.9005	2.022915	0.102136	2.271825
ENSMUSG00000060012	1.97752	1.275007	3.20284	1.55613	1.675545	1.95882	3.8764	1.930565	1.893995	1.40651	3.22121	3.66332	2.882995	5.49084	1.945835	1.90771	3.957715
ENSMUSG00000024366	0.03096455	0.2562415	0	0	0.01353895	0.3917215	0.3079955	0.02597885	1.118485	0	0	0.0300721	0	0.886311	0.0180545	0	0
ENSMUSG00000023032	0.0618743	4.14734	5.155525	6.286105	0.08760125	0.2302255	0.1530205	0.3621195	0.716037	0.0491163	0.07054175	0.901279	4.650015	2.28847	1.718205	1.317875	0.7407715
ENSMUSG00000000399	9.880305	20.28545	20.27785	17.539	38.7331	92.49935	28.3852	63.0969	11.56365	20.18525	26.42615	7.778915	13.82565	8.658865	10.43895	15.84915	12.06745
ENSMUSG00000061342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03699205	0	0
ENSMUSG00000059023	0	0	0	0	0	0	0	0	0.0201612	0	0	0	0	0	0	0	0
ENSMUSG00000048377	0	0.002898645	0	0	0.002169255	0	0	0	0.02071204	0.00971295	0	0	0	0.005255	0.0133777	0	0.0446088
ENSMUSG00000048378	0	0	0	0	0	0	0	0	0	0	0.0439731	0	0	0	0	0	0
ENSMUSG00000023034	2.1513	0.912789	4.211265	8.181815	3.19745	1.387805	0.650837	0.585856	1.76968	0.2044367	0.2027375	3.425595	10.4087	1.125653	7.14474	5.26787	9.55412
ENSMUSG00000048379	1.947665	6.66064	2.94199	1.64567	4.661425	1.1533835	11.88586	2.02998	5.838055	6.431175	1.67632	2.517465	3.408755	4.392775	1.97033	3.49703	6.310995
ENSMUSG00000024369	6.11735	5.6950175	1.11821575	0.971663335	3.85127245	0.9415175	3.35883995	2.8147075	4.3780625	5.4165175	2.9999351	2.8276276	2.77612	3.17124275	3.3059225	24.605	2.76415425
ENSMUSG00000000394	0	0.400004	0	0	0	0.03081545	11.90556	0	0.03423145	0	0	0	0.1442145	0.03033965	0.0965058	0	0.0894
ENSMUSG00000023036	0.146299	2.678765	2.42104	1.56939	0.976787	0.311437	0.1699385	0.0717013	1.36194	0.10664965	0.0897502	0.969931	2.47966	0.1154685	0.105594	0	0.419019
ENSMUSG00000023039	0.4559545	0.11488765	0.016146	0	3.419195	0.8890795	13.45663	18.97275	2.088405	0.808087	0.10103075	50.6237	1.058848	48.5114	0.3110915	0.2560745	3.4207
ENSMUSG00000060017	0	0	0	0	0	0	0.01111825	0	0	0	0	0	0	0	0	0	0
